time,h_sigma,cycle,spot,dh_fit_dx,delta_time,rms_misfit,segment_id,dh_fit_dy,w_surface_window_final,n_fit_photons,rgt,pflags,h_mean,distance,gt,geometry,lon,lat,x,y,snow_depth,geometry_2
45:28.3,0.083730549,11,3,-0.130056725,104039128.3,0.403335157,245102,0,3.372364641,25,387,0,505.3482254,4915188.559,40,POINT (-122.09849148573718 44.15303910293005),-122.0984915,44.1530391,572091.693,4889265.87,-1.287303178,
45:27.9,0.05188809,11,4,-0.03360597,104039127.9,0.220746313,245102,0,3,20,387,0,499.7279224,4915203.6,30,POINT (-122.09966286733484 44.15309321038591),-122.0996629,44.15309321,571997.9541,4889270.854,-0.466108328,
45:28.3,0.023394209,11,1,0.005952908,104039128.3,0.154521217,245102,0,3,49,387,0,764.4379812,4915203.6,60,POINT (-122.058513395459 44.1559594506434),-122.0585134,44.15595945,575284.9503,4889626.056,-0.674994885,
45:27.9,0.052496628,11,4,-0.06272167,104039127.9,0.229614828,245103,0,3,21,387,0,498.9960964,4915218.6,30,POINT (-122.09968076644151 44.153227603273834),-122.0996808,44.1532276,571996.3593,4889285.765,-0.249448004,
45:28.3,0.028040347,11,1,0.004119337,104039128.3,0.188779384,245103,0,3,46,387,0,764.4523383,4915218.6,60,POINT (-122.05853162641074 44.156093815005846),-122.0585316,44.15609382,575283.3216,4889640.963,-0.725762237,
45:27.9,0.115871825,11,4,-0.037138896,104039127.9,0.366832165,245104,0,3,11,387,0,498.2275027,4915233.641,30,POINT (-122.09969876210944 44.1533623613973),-122.0996988,44.15336236,571994.7564,4889300.717,-0.270666217,
45:28.3,0.028532935,11,1,-0.003073177,104039128.3,0.18414269,245104,0,3,45,387,0,764.4051603,4915233.641,60,POINT (-122.05855000307064 44.156228540240285),-122.05855,44.15622854,575281.6808,4889655.911,-0.603262536,
45:28.3,0.026137225,11,1,-0.018652234,104039128.3,0.167699154,245105,0,3,43,387,0,764.167122,4915248.682,60,POINT (-122.05856848874915 44.156363257823145),-122.0585685,44.15636326,575280.0314,4889670.857,-0.570243731,
45:28.3,0.027640794,11,1,-0.021852771,104039128.3,0.202515596,245105,0,3,54,387,0,763.852553,4915263.723,60,POINT (-122.05858704440587 44.15649797222078),-122.058587,44.15649797,575278.3763,4889685.803,-0.684617451,
45:27.9,0.045419285,11,2,-0.027587737,104039127.9,0.148155674,245106,0,3,11,387,0,762.2644587,4915278.723,50,POINT (-122.05971056855459 44.156555439812365),-122.0597106,44.15655544,575188.4625,4889691.158,-0.551154136,
45:28.3,0.02878064,11,1,-0.021849944,104039128.3,0.222748035,245106,0,3,60,387,0,763.5189538,4915278.723,60,POINT (-122.05860559195791 44.15663231529028),-122.0586056,44.15663232,575276.7224,4889700.708,-0.567655084,
45:27.9,0.031922546,11,2,-0.048552738,104039127.9,0.130350266,245107,0,3,17,387,0,761.7891569,4915293.764,50,POINT (-122.05972882658644 44.15669017299708),-122.0597288,44.15669017,575186.8314,4889706.106,-0.525174128,
